dataset_index,stops,load,len_m,cost_m,energy_net_Wh,energy_gross_Wh,energy_regen_Wh,charge_cnt,charge_time_h,feasible,dataset_index
24,250,300,35485.42881,35423.29775,9164.390533,9613.73633,479.8929795,0,0,True,24
24,269,300,20064.65974,20109.77934,4756.754045,4822.022311,65.26826603,0,0,True,24
24,251,300,26218.84421,26049.08953,6318.127696,6583.207448,265.3817985,0,0,True,24
24,274,300,27337.09568,27317.20286,6415.179479,6521.299865,107.0362635,0,0,True,24
24,275,300,20318.83237,20394.4863,4943.481633,5037.133345,93.94579825,0,0,True,24
24,255,300,26609.12822,26502.96206,6497.299175,6730.337204,234.4413987,0,0,True,24
24,198,300,32671.09138,32301.19158,8712.382849,9295.314953,634.1917177,0,0,True,24
24,292,300,23813.39005,23810.52149,5609.143935,5770.239988,163.6448648,0,0,True,24
24,235,300,40448.01853,40503.29547,9575.160072,9718.962787,143.8027147,0,0,True,24
24,246,300,25988.68903,25913.70049,6334.42182,6626.088605,292.4136383,0,0,True,24
24,257,300,16425.25849,16448.91861,3953.558894,4023.007304,69.8301307,0,0,True,24
24,254,300,35060.82303,35253.45984,9568.391324,10006.59441,457.3162267,0,0,True,24
24,254,300,32776.65856,32472.57372,8115.426331,8639.088752,540.458699,0,0,True,24
24,268,300,22605.19935,22692.62943,5517.719919,5634.126985,117.8753762,0,0,True,24
24,267,300,24776.73812,24854.86739,5879.372003,6023.532779,144.6654883,0,0,True,24
24,263,300,25425.72382,25500.50687,6160.104004,6377.957179,219.3270324,0,0,True,24
24,213,300,26274.77835,26206.386,6199.690712,6305.140685,105.47972,0,0,True,24
24,152,300,11631.27632,11668.77952,2782.347378,2848.269122,66.78536472,0,0,True,24
24,273,300,23176.304,23227.97927,5519.292983,5608.354861,89.06187797,0,0,True,24
24,76,77,16209.03756,16019.32514,4254.697371,4719.299554,480.438505,0,0,True,24
24,256,300,23140.75442,23187.07658,5617.953014,5784.587803,171.7663707,0,0,True,24
24,272,300,28385.65257,28463.1306,6893.991484,7037.329227,144.3018942,0,0,True,24
24,247,300,25962.687,25906.71986,6453.186232,6811.045907,376.0076181,0,0,True,24
24,267,300,27976.77772,27985.41372,6673.596504,6780.407137,108.4575424,0,0,True,24
24,221,300,32453.00648,32492.32322,8068.254366,8451.227639,403.3187845,0,0,True,24
24,245,300,26932.79217,26940.36333,6528.023217,6723.069444,195.1452153,0,0,True,24
24,274,300,19885.76282,19933.36609,5138.516183,5403.493967,274.9498371,0,0,True,24
24,259,300,30036.82342,30329.11488,8322.720814,8745.122304,434.7974265,0,0,True,24
24,253,300,21330.88106,21273.57426,5141.606721,5269.359324,127.7526031,0,0,True,24
24,255,300,30596.87664,30558.49787,8204.55945,8715.141859,530.9908534,0,0,True,24
24,261,300,21264.1085,21183.84634,5013.388189,5129.883396,116.8904306,0,0,True,24
24,269,300,23434.17368,23472.73963,5929.308248,6178.89229,252.6243463,0,0,True,24
24,256,300,30742.24858,30703.77192,7485.638527,7857.628338,380.8451557,0,0,True,24
24,237,300,34042.86506,34145.72854,8484.664307,8781.48111,300.1396283,0,0,True,24
24,253,300,22607.43183,22594.88247,5313.540603,5419.42218,106.1378211,0,0,True,24
24,262,300,26490.36225,26543.97506,6403.920573,6596.380169,193.3383804,0,0,True,24
24,280,300,16428.30131,16447.64164,3848.175446,3871.863111,23.68766441,0,0,True,24
24,295,300,20688.96048,20759.91866,4935.900963,5063.609123,129.4494002,0,0,True,24
24,241,300,31872.03826,31621.88393,7728.39197,7937.859434,210.4945013,0,0,True,24
25,212,300,22009.78309,22021.16608,5249.734552,5302.083409,52.34885652,0,0,True,25
25,282,300,25438.43554,25476.28923,6089.812771,6152.075032,62.26226108,0,0,True,25
25,296,300,22788.4095,22871.14177,5658.566308,5785.380117,131.3621821,0,0,True,25
25,267,282,22653.57456,22773.31878,5668.693616,5846.393617,178.3232876,0,0,True,25
25,262,300,27254.69363,27275.76233,6473.730545,6558.70978,85.0379034,0,0,True,25
25,153,300,14710.15389,14847.93842,3977.807051,4100.429089,123.1885471,0,0,True,25
26,224,300,30177.59929,30157.08741,7175.51043,8121.971621,1137.463551,0,0,True,26
26,137,300,18657.83497,18624.44471,4350.213943,4459.849893,118.7403712,0,0,True,26
26,202,300,34222.22346,33674.10063,9116.03203,9681.3484,868.4873599,0,0,True,26
26,241,300,33623.67907,32883.04273,7849.160977,8434.399009,1912.952695,0,0,True,26
26,216,300,20185.98454,20258.5789,5070.160837,5265.858489,204.6583858,0,0,True,26
26,248,300,26036.70061,25450.83365,5891.461377,6065.614401,1189.890724,0,0,True,26
26,249,300,40853.48942,40443.08399,9723.519723,9889.700059,348.0864311,0,0,True,26
26,228,300,23579.84499,23059.30869,5639.64174,5834.617856,195.2939615,0,0,True,26
26,254,300,17777.67481,17907.84856,4284.068815,4610.613735,342.5586409,0,0,True,26
26,229,300,24855.19576,23216.95154,7480.016012,8328.885602,1202.213318,0,0,True,26
26,285,300,31780.50333,31031.08461,8348.873948,8710.757846,492.0243353,0,0,True,26
26,265,300,34777.97317,34620.57121,9920.983312,10402.10149,1523.352871,0,0,True,26
26,197,300,24636.71425,24253.36237,6728.571331,7207.096849,662.0836561,0,0,True,26
26,222,300,24266.56821,24368.40484,6321.930327,6536.351,221.5639658,0,0,True,26
26,141,246,35837.21945,35794.51581,8417.033392,9690.650567,1652.050007,0,0,True,26
26,257,300,29836.99896,29553.55034,7861.226343,8641.645731,1032.045106,0,0,True,26
26,282,300,34391.28506,34458.13098,8473.41109,9159.017317,827.0708761,0,0,True,26
26,255,300,17209.90558,17304.53112,4475.632203,4654.975209,185.201103,0,0,True,26
26,76,300,12140.66046,11824.1889,2907.525681,3080.338649,174.8606928,0,0,True,26
26,237,300,25489.89092,25534.30182,6206.371405,6395.049478,195.2633376,0,0,True,26
26,234,300,28155.3639,27157.83303,6251.323234,6609.659859,994.7203621,0,0,True,26
26,290,300,21518.94,21304.88657,5757.614434,6114.117865,373.7703552,0,0,True,26
26,224,300,23901.77505,23920.65688,5749.479371,6000.359286,269.5553648,0,0,True,26
26,238,300,30317.1271,29356.43872,8047.378645,8934.909326,1317.273765,0,0,True,26
26,196,300,33442.69142,32614.21148,8533.737394,10069.90804,1729.444919,0,0,True,26
26,249,300,57292.75717,55295.21142,15510.94918,17804.83202,3816.375245,0,0,True,26
26,253,300,40900.82554,38546.87674,10482.59168,11884.84726,1926.299734,0,0,True,26
26,235,300,36175.25986,36007.75223,8250.347257,8379.017107,276.7848628,0,0,True,26
26,221,300,36276.37797,36214.29366,8371.661917,8531.202677,258.8328225,0,0,True,26
26,263,300,21699.85727,21319.07534,5478.520542,5822.227889,347.6693969,0,0,True,26
26,221,300,34291.33784,34607.27817,8917.91638,10434.19341,2778.154965,0,0,True,26
26,273,300,29259.01676,28658.13881,7253.578341,7611.831786,459.4001087,0,0,True,26
26,259,300,21059.2219,20994.03414,6076.568096,6514.028382,449.7652264,0,0,True,26
26,263,300,24632.83905,25685.95663,11026.51669,11331.36457,3140.785919,0,0,True,26
26,237,300,21645.0791,21611.04329,5024.57344,5209.994154,195.266086,0,0,True,26
27,235,300,16820.21632,16310.58107,7354.208369,8107.480292,1505.419734,0,0,True,27
27,149,165,13491.02602,13559.16757,4467.716145,4884.97621,652.8444504,0,0,True,27
27,234,248,19586.3956,19490.2456,7628.477139,8183.663348,804.7877529,0,0,True,27
27,189,241,15782.45227,15240.06083,4942.688337,5348.732206,763.1524921,0,0,True,27
27,257,299,24258.07095,23533.39722,7424.091422,8104.441837,959.0656681,0,0,True,27
27,6,1357,7186.749179,6454.465693,2511.929592,2725.810727,456.9894886,0,0,True,27
27,138,166,9630.900966,9741.205621,3380.911715,3676.425643,408.4235634,0,0,True,27
27,256,300,20404.35651,19563.5061,6595.173105,7207.94455,797.753619,0,0,True,27
27,91,155,12359.70664,12245.96287,3514.696173,3982.449237,633.4494659,0,0,True,27
27,154,300,18246.6563,17423.84245,5695.987952,6185.696455,757.1139678,0,0,True,27
27,120,143,8695.534693,9067.787793,4440.826219,4848.664315,875.7856445,0,0,True,27
27,205,291,21141.43511,19807.08845,6311.928245,6929.266712,873.2489054,0,0,True,27
27,145,147,15843.91754,14951.33688,5356.680987,5854.634571,676.3100761,0,0,True,27
27,248,296,19064.83649,18406.25937,5767.275805,6302.531385,751.3325554,0,0,True,27
27,192,300,17405.81062,16833.67758,5423.906222,5859.080689,655.872913,0,0,True,27
27,95,156,9280.030816,9195.451696,2867.10359,3248.90825,543.3592072,0,0,True,27
27,209,234,16798.2631,16477.83016,4761.203628,5352.068759,880.4860695,0,0,True,27
27,170,300,17156.55438,16761.09826,7039.355144,7879.380514,1613.876183,0,0,True,27
28,272,300,33072.69026,33103.57105,8068.998432,8428.691362,396.5701562,0,0,True,28
28,212,300,25536.45576,24015.91135,6789.994505,7820.447776,1349.250349,0,0,True,28
28,207,263,28837.00672,28656.29208,7014.243918,7350.270681,375.2240292,0,0,True,28
28,254,300,30552.83015,29534.62981,8400.667745,9261.311521,1013.367452,0,0,True,28
28,219,300,29921.87686,28248.12017,9114.332349,10450.06774,1624.418473,0,0,True,28
28,96,300,13085.38882,13017.77567,3262.801467,3378.531231,151.1110689,0,0,True,28
28,234,300,26741.53487,26751.23885,7044.669381,7366.925774,362.1359219,0,0,True,28
28,230,300,31821.28985,31870.33238,8933.448667,9524.934658,656.0311315,0,0,True,28
